Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url,Miles_threshold
2021,Mazda,CX-5,Touring,SUV,22698.0,32149.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0326295/?radius=25,45000
2021,Mazda,CX-5,Sport,SUV,21995.0,34428.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM2M0351301/?radius=25,45000
2020,Mazda,CX-5,Touring,SUV,22474.0,16600.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM3L1833458/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,22499.0,39634.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M0411702/?radius=25,45000
2020,Mazda,CX-5,Touring,SUV,20444.0,37638.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM5L1823353/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,21628.0,36560.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M0315269/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,25998.0,30947.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDM9L0761489/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,23795.0,28290.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0364419/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24949.0,15785.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM7M1399661/?radius=25,45000
2022,Mazda,CX-5,2.5 S,SUV,23297.0,22173.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBAMXN0538434/?radius=25,30000
