Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url
2024,Mazda,CX-5,2.5 S Preferred,SUV,,6974.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBCM4R0356781/?radius=25
2024,Mazda,CX-5,2.5 Carbon Turbo,SUV,,8169.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2024/vin/JM3KFBAY1R0360597/?radius=25
2023,Mazda,CX-5,2.5 Turbo Signature,SUV,,8262.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBXY0P0291258/?radius=25
2021,Mazda,CX-5,Touring,SUV,25894.0,33586.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM3M1480852/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,23200.0,,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM4M0321729/?radius=25
2022,Mazda,CX-5,2.5 S Preferred,SUV,,31737.0,0,1,Rental vehicle,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM1N1562158/?radius=25
2021,Mazda,CX-5,Touring,SUV,22900.0,,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M1332279/?radius=25
2022,Mazda,CX-5,2.5 S Preferred,SUV,,11585.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM5N1587158/?radius=25
2022,Mazda,CX-5,2.5 S Select,SUV,,13223.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBBM1N0559638/?radius=25
2020,Mazda,CX-5,Grand Touring Reserve,SUV,24895.0,,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBAY5L0859684/?radius=25
2021,Mazda,CX-5,Grand Touring Reserve,SUV,,15411.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBAY4M0426049/?radius=25
2021,Mazda,CX-5,Grand Touring,SUV,,10500.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM1M0428124/?radius=25
