year,make,model,trim,doors,type,mileage,price,cyl,dealer,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,VIN,Certified Pre-Owned,Accidents,Owners,Usage,Listed since,car_url
Certified,2021,Toyota,RAV4,XLE,4dr,20947,27960.0,4cyl Automatic,Plaza Toyota (19 mi away),Clean Title,No,No,No,No,2T3P1RFV0MW215950,Yes,No accidents, 1 Owner, Personal use,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MW215950/?radius=25
2012,Toyota,RAV4,Base,4dr,SUV,127819,7799.0,4cyl Automatic,Auto Spot (1 mi away),Clean Title,No,No,No,No,2T3JF4DV8CW215870,No,4 Accidents, 4 Owners, Personal use only,,https://www.edmunds.com/toyota/rav4/2012/vin/2T3JF4DV8CW215870/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,72822,17900.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,2T3H1RFVXKW003011,No,No accidents, 4 Owners, Personal use only,2023-12-16,https://www.edmunds.com/toyota/rav4/2019/vin/2T3H1RFVXKW003011/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,33972,16500.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3BFREV0JW783124,No,1 Accident, 2 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3BFREV0JW783124/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,61409,17999.0,4cyl Automatic,Auto Lux (23 mi away),Clean Title,No,No,No,No,2T3W1RFV3MC126919,No,No accidents, 1 Owner, Personal use only,2023-12-21,https://www.edmunds.com/toyota/rav4/2021/vin/2T3W1RFV3MC126919/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,39417,20000.0,4cyl Automatic,PPNJ Auto Mall (17 mi away),Clean Title,No,No,No,No,2T3H1RFV3MW142674,No,No accidents, 2 Owners, Personal use only,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV3MW142674/?radius=25
Certified,2020,Toyota,RAV4,LE,4dr,6200,26899.0,4cyl Automatic,Toyota of Bay Ridge Brooklyn (18 mi away),Clean Title,No,No,No,No,JTMF1RFV1LD055343,Yes,No accidents, 1 Owner, Personal use,2024-03-26,https://www.edmunds.com/toyota/rav4/2020/vin/JTMF1RFV1LD055343/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,19947,26499.0,4cyl Automatic,Metro Honda (12 mi away),Clean Title,No,No,No,No,2T3P1RFV1MW191691,No,No accidents, 1 Owner, Personal use,2024-03-23,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV1MW191691/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,68031,20905.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,JTMW1RFV0KD011428,No,No accidents, 3 Owners, Corporate fleet vehicle,2024-03-22,https://www.edmunds.com/toyota/rav4/2019/vin/JTMW1RFV0KD011428/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,47080,19700.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,2T3H1RFV1MW150241,No,No accidents, 2 Owners, Corporate fleet vehicle,2023-12-16,https://www.edmunds.com/toyota/rav4/2021/vin/2T3H1RFV1MW150241/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,32568,17505.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3ZFREVXJW429299,No,3 Accidents, 2 Owners, Personal use,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3ZFREVXJW429299/?radius=25
2017,Toyota,RAV4,XLE,4dr,SUV,71763,17895.0,4cyl Automatic,Toyota of Manhattan (9 mi away),Clean Title,No,No,No,No,JTMRFREV0HJ128243,No,No accidents, 3 Owners, Personal use,2024-04-08,https://www.edmunds.com/toyota/rav4/2017/vin/JTMRFREV0HJ128243/?radius=25
2011,Toyota,RAV4,Limited,4dr,SUV,142358,9799.0,6cyl Automatic,Auto Spot (1 mi away),Clean Title,No,No,No,No,2T3DK4DV2BW050017,No,1 Accident, 1 Owner, Personal use only,,https://www.edmunds.com/toyota/rav4/2011/vin/2T3DK4DV2BW050017/?radius=25
2020,Toyota,RAV4,XLE,Premium,4dr,103119,20885.0,4cyl Automatic,95 Auto (11 mi away),Clean Title,No,No,No,No,2T3A1RFV5LW138741,No,No accidents, 2 Owners, Taxi vehicle,2024-02-15,https://www.edmunds.com/toyota/rav4/2020/vin/2T3A1RFV5LW138741/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,43286,15905.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3BFREV4JW744780,No,2 Accidents, 2 Owners, Personal use,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3BFREV4JW744780/?radius=25
2019,Toyota,RAV4,XLE,Premium,4dr,74862,20900.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,2T3A1RFV6KC051267,No,3 Accidents, 2 Owners, Taxi vehicle,2023-12-30,https://www.edmunds.com/toyota/rav4/2019/vin/2T3A1RFV6KC051267/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,21173,22500.0,4cyl Automatic,PPNJ Auto Mall (17 mi away),Clean Title,No,No,No,No,2T3W1RFV8LC052718,No,1 Accident, 1 Owner, Rental vehicle,2023-06-27,https://www.edmunds.com/toyota/rav4/2020/vin/2T3W1RFV8LC052718/?radius=25
Certified,2023,Toyota,RAV4,XLE,4dr,16563,31500.0,4cyl Automatic,Route 22 Toyota (16 mi away),Clean Title,No,No,No,No,2T3P1RFV6PW364593,Yes,No accidents, 2 Owners, Personal use only,2024-03-11,https://www.edmunds.com/toyota/rav4/2023/vin/2T3P1RFV6PW364593/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,43835,22000.0,4cyl Automatic,PPNJ Auto Mall (17 mi away),Clean Title,No,No,No,No,JTMP1RFVXKD032825,No,2 Accidents, 2 Owners, Personal use,2023-06-27,https://www.edmunds.com/toyota/rav4/2019/vin/JTMP1RFVXKD032825/?radius=25
