Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2022,Honda,CR-V,EX-L,4dr,SUV,28664.0,10346.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-25,https://www.edmunds.com/honda/cr-v/2022/vin/2HKRW2H89NH670779/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,23490.0,39002.0,0,1,Personal use,Clean Title,No,No,No,No,No,2023-12-23,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H8XMH651298/?radius=25
2015,Honda,CR-V,LX,4dr,SUV,10999.0,147351.0,1,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2015/vin/2HKRM3H32FH510454/?radius=25
2018,Honda,CR-V,EX,4dr,SUV,19999.0,40051.0,2,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2018/vin/2HKRW2H50JH676163/?radius=25
2011,Honda,CR-V,EX-L,4dr,SUV,9299.0,111810.0,1,2,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2011/vin/5J6RE4H79BL124376/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,17700.0,59664.0,0,2,Rental vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW6H3XKL003250/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,25602.0,26538.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2023-10-30,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H88LH689742/?radius=25
2021,Honda,CR-V,LX,4dr,SUV,22995.0,27435.0,0,2,Personal use,Clean Title,No,No,No,No,Yes,2024-04-06,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H26MH626605/?radius=25
2018,Honda,CR-V,EX-L,4dr,SUV,18495.0,94853.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-01-13,https://www.edmunds.com/honda/cr-v/2018/vin/2HKRW2H81JH669927/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,24990.0,24613.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-03,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H86MA002633/?radius=25
2020,Honda,CR-V,EX-L,4dr,SUV,24895.0,20247.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H89LA021949/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,26864.0,21192.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-16,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H82MA004248/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,25569.0,25645.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,Yes,2024-03-14,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H54MA007254/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,26988.0,23816.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-01,https://www.edmunds.com/honda/cr-v/2021/vin/7FARW2H88ME003123/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,17800.0,63359.0,0,2,Rental vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H39KH211744/?radius=25
2018,Honda,CR-V,EX-L,4dr,SUV,18298.0,106145.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-04,https://www.edmunds.com/honda/cr-v/2018/vin/7FARW2H80JE091127/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,24996.0,27790.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-02-01,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H57MH608365/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,23518.0,32435.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-01-31,https://www.edmunds.com/honda/cr-v/2021/vin/7FARW2H51ME003860/?radius=25
2024,Honda,CR-V,Sport Hybrid,4dr,SUV,33395.0,5752.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-19,https://www.edmunds.com/honda/cr-v/2024/vin/5J6RS6H5XRL001778/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,23296.0,34726.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-15,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H55MH617212/?radius=25
2021,Honda,CR-V,Special Edition,4dr,SUV,24588.0,32600.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-30,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H70ML023862/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,21995.0,51867.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-06,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H5XKH634410/?radius=25
2018,Honda,CR-V,EX-L,4dr,SUV,15485.0,153254.0,0,1,Personal use only,Clean Title,No,No,No,No,Yes,2023-09-28,https://www.edmunds.com/honda/cr-v/2018/vin/2HKRW2H89JH660635/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,24887.0,32695.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-03,https://www.edmunds.com/honda/cr-v/2021/vin/7FARW2H53ME005433/?radius=25
2017,Honda,CR-V,LX,4dr,SUV,13998.0,102837.0,1,2,Personal use,Clean Title,No,No,No,No,No,2024-03-21,https://www.edmunds.com/honda/cr-v/2017/vin/2HKRW6H37HH210021/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,23852.0,30544.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-17,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H58MH633629/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,25058.0,16118.0,1,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-26,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H59MH618640/?radius=25
2017,Honda,CR-V,EX-L,4dr,SUV,21400.0,24804.0,2,2,Personal use,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2017/vin/2HKRW2H81HH673423/?radius=25
2014,Honda,CR-V,EX-L,4dr,SUV,10599.0,156754.0,1,2,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2014/vin/5J6RM4H70EL010449/?radius=25
2020,Honda,CR-V,EX,4dr,SUV,23945.0,35247.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2023-09-05,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H54LH612548/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,25995.0,11482.0,1,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-20,https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H59MA010828/?radius=25
