year_make_model,trim_style,price,url,mileage,accidents_owners_usage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since
Certified 2021 Toyota RAV4,LE 4dr SUV,"$24,995",https://www.edmunds.com/toyota/rav4/2021/vin/JTMG1RFV9MD075684/?radius=25,"31,148 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JTMG1RFV9MD075684,241096A,Yes,04-02-2024
Certified 2021 Toyota RAV4,XLE 4dr SUV,"$27,717",https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MW207571/?radius=25,"26,792 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV7MW207571,U40125,Yes,04-01-2024
Certified 2021 Toyota RAV4,XLE Premium 4dr SUV,"$29,459",https://www.edmunds.com/toyota/rav4/2021/vin/2T3A1RFV0MC170421/?radius=25,"18,735 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3A1RFV0MC170421,T8651PL,Yes,03-25-2024
Certified 2021 Mazda CX-5,Grand Touring 4dr SUV,"$22,901",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M0364377/?radius=25,"42,495 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDM5M0364377,M33654,Yes,03-13-2024
Certified 2023 Honda CR-V,LX 4dr SUV,"$28,990",https://www.edmunds.com/honda/cr-v/2023/vin/2HKRS4H21PH422628/?radius=25,"10,008 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRS4H21PH422628,65832A,Yes,04-02-2024
Certified 2021 Mazda CX-5,Touring 4dr SUV,"$22,836",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M0364468/?radius=25,"29,510 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBCM6M0364468,M33714,Yes,04-02-2024
Certified 2023 Honda CR-V,EX-L 4dr SUV,"$33,895",https://www.edmunds.com/honda/cr-v/2023/vin/2HKRS4H79PH438037/?radius=25,"2,050 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRS4H79PH438037,PH438037,Yes,03-14-2024
2021 Toyota RAV4,LE 4dr SUV,"$23,991",https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFVXMC197393/?radius=25,"28,076 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3G1RFVXMC197393,240953A,No,03-19-2024
Certified 2021 Honda CR-V,EX-L 4dr SUV,"$26,488",https://www.edmunds.com/honda/cr-v/2021/vin/7FARW2H88ME003123/?radius=25,"23,816 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,7FARW2H88ME003123,ME003123,Yes,04-01-2024
2021 Toyota RAV4,LE 4dr SUV,"$24,699",https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV4MC192383/?radius=25,"22,620 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3G1RFV4MC192383,FU8061,No,04-06-2024
Certified 2021 Honda Pilot,EX-L 4dr SUV,"$28,398",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H57MB073698/?radius=25,"37,564 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H57MB073698,HHMB073698U,Yes,03-29-2024
